sample_rate,case,baseline_peak_gr_db,candidate_peak_gr_db,delta_peak_gr_db,baseline_active_mean_gr_db,candidate_active_mean_gr_db,delta_active_mean_gr_db,baseline_max_detector_db,candidate_max_detector_db,all_finite
44100,sustained_body,3.5464813702579105,3.017749367365434,-0.5287320028924767,3.337174705559779,2.8510325593138655,-0.4861421462459137,-19.907334433747437,-21.02316964921656,True
44100,transient_10ms,2.2814308163909107,3.4213279783247375,1.1398971619338267,0.7954341205383222,0.7913360042093797,-0.004098116328942525,-12.062462789482764,-12.051370723124194,True
44100,transient_30ms,4.480108962711629,5.263013830127133,0.7829048674155041,2.088467290113916,2.050635674241846,-0.03783161587206996,-10.485876467999336,-12.044903378870206,True
44100,body_plus_transient,4.799513109706201,4.956770805708074,0.15725769600187345,3.5014318016352814,3.2242392549771153,-0.2771925466581662,-10.80670123479458,-11.041924506192588,True
44100,plosive_low,1.8379609726652084,1.8805455122779764,0.04258453961276798,1.443582592042974,1.4387356676471879,-0.004846924395786045,-19.048641242185255,-19.97529655784138,True
44100,sibilant_high,5.836769784614725,5.928326025722584,0.09155624110785965,3.8231863114702374,3.809260597695828,-0.01392571377440932,-9.548734854780268,-10.981323896215907,True
44100,breath_noise,0.01867697703131552,0.0,-0.01867697703131552,0.013219192862557337,0.0,-0.013219192862557337,-30.074142141725527,-32.60087551316368,True
44100,body_step,5.787377446288488,5.4935755403225395,-0.2938019059659487,3.425954586667219,3.119229803901701,-0.3067247827655182,-15.907334451845468,-17.023169661618347,True
48000,sustained_body,3.5464480028840564,3.0177489303993545,-0.5286990724847018,3.337140289088735,2.8510283519089428,-0.4861119371797922,-19.907427989353526,-21.02317466380027,True
48000,transient_10ms,2.279691298378771,3.422684385497395,1.142993087118624,0.7946301961124606,0.7940073137694692,-0.0006228823429913488,-12.016284368428998,-12.03282566208628,True
48000,transient_30ms,4.478542759803105,5.263826992738299,0.7852842329351937,2.087158704728426,2.053076652650992,-0.03408205207743409,-10.461175009359739,-12.01800691173101,True
48000,body_plus_transient,4.7993490217230335,4.957479483422468,0.15813046169943412,3.5014057145662263,3.2244034644708304,-0.2770022500953959,-10.808394302584862,-11.012027821972495,True
48000,plosive_low,1.837907219024647,1.8805655616999504,0.04265834267530333,1.4434393789226196,1.438639065727239,-0.004800313195380657,-19.049167034935685,-19.975269526579712,True
48000,sibilant_high,5.828569368196794,5.923227919977313,0.09465855178051896,3.7549905625046094,3.7426603139644636,-0.01233024854014575,-9.350511705835363,-10.840532289185937,True
48000,breath_noise,0.017998321892758257,0.0,-0.017998321892758257,0.013459684333213208,0.0,-0.013459684333213208,-30.171920330626865,-32.58075313746863,True
48000,body_step,5.787383865287916,5.493575211582496,-0.29380865370541986,3.4261190018460494,3.1194034621253546,-0.3067155397206949,-15.907427997339042,-17.023174675124558,True
96000,sustained_body,3.5462394529441763,3.017747014144134,-0.5284924388000425,3.336904742224496,2.850995480502982,-0.48590926172151416,-19.90795342339515,-21.02319439002141,True
96000,transient_10ms,2.279641278171982,3.4224318097147424,1.1427905315427602,0.7913424567992652,0.7904210145312627,-0.0009214422680025036,-12.021073635036837,-12.011960273962163,True
96000,transient_30ms,4.478540900792419,5.263973660222107,0.7854327594296882,2.084279353144628,2.05086636464633,-0.0334129884982981,-10.456872799904815,-12.006224271222635,True
96000,body_plus_transient,4.7996014059444185,4.957649492293206,0.15804808634878764,3.5012384004013835,3.2243907480319773,-0.2768476523694061,-10.810573302603565,-11.013325031547891,True
96000,plosive_low,1.8375934857797227,1.8806788165946413,0.04308533081491861,1.4429437089295816,1.438439462414552,-0.004504246515029564,-19.051870946155077,-19.9752773331509,True
96000,sibilant_high,5.8324438530974305,5.92626274133893,0.09381888824149964,3.775854046878604,3.7761248190568013,0.000270772178197376,-9.240045226862776,-10.573017131975885,True
96000,breath_noise,0.01737096522120064,0.0,-0.01737096522120064,0.012669234390141915,0.0,-0.012669234390141915,-30.19511265976003,-32.62872640527298,True
96000,body_step,5.787399814895758,5.493573057665508,-0.2938267572302493,3.4268613731450954,3.120215670710921,-0.30664570243417444,-15.907953431384424,-17.0231944048961,True
192000,sustained_body,3.546136641925324,3.0177465310885028,-0.5283901108368214,3.336790406329482,2.85097987213763,-0.4858105341918524,-19.908212932489693,-21.02319933460722,True
192000,transient_10ms,2.279730543807472,3.4226551950279016,1.1429246512204294,0.7911226858265432,0.7903566121009928,-0.0007660737255503758,-12.023494313600613,-12.005196408515497,True
192000,transient_30ms,4.47858533121885,5.264057644652256,0.7854723134334058,2.083830110880856,2.05056684908366,-0.03326326179719574,-10.453723857773818,-12.000808890341684,True
192000,body_plus_transient,4.79964672127857,4.957691877614567,0.15804515633599703,3.5011276539364586,3.2243740214541496,-0.276753632482309,-10.8116644943662,-11.006674364961055,True
192000,plosive_low,1.8374373509522866,1.8807362490171189,0.043298898064832336,1.4428654525029752,1.4385704644392519,-0.004294988063723304,-19.0532444122481,-19.97527928464457,True
192000,sibilant_high,5.827522641105849,5.924460161543786,0.0969375204379368,3.7894284966651943,3.7852232926587592,-0.004205204006435093,-9.289101361348564,-10.57292799368536,True
192000,breath_noise,0.01686498033228273,0.0,-0.01686498033228273,0.012467226859689052,0.0,-0.012467226859689052,-30.481704180742977,-32.6782185388424,True
192000,body_step,5.787410845152942,5.493572519079881,-0.29383832607306104,3.42637431854893,3.1197607926992235,-0.30661352584970647,-15.908212940479846,-17.023199344947596,True
