input_peak_dbfs,estimated_secondary_source_ohm,last_v2_grid_v,last_v2_rout_ohm,target_ohm
-24,150.527191162,2.59327411652,233.180038452,150
-18,150.53477478,5.17434024811,233.369430542,150
-12,150.551193237,10.3244743347,233.779876709,150
-6,150.58972168,20.6012554169,234.743331909,150
-3,150.628219604,29.1014537811,235.705551147,150
0,150.694366455,41.1096572876,237.359298706,150
3,150.751342773,49.7174263,238.783859253,150
