sample_rate,case,detector,max_probability,active_occupancy_pct,event_count,max_active_duration_ms,first_onset_latency_ms,detected
44100,plosive_soft,lf_only,0.9543941422977594,2.4590576971529354,1,22.131519274376416,2.947845804988636,True
44100,plosive_soft,context,0.7323333942353932,0.0,0,0.0,,False
44100,plosive_nominal,lf_only,0.9673415320414205,2.620307382212144,1,23.582766439909296,2.2222222222222365,True
44100,plosive_nominal,context,0.757880502500731,1.0481229528848577,1,9.433106575963718,16.1904761904762,True
44100,plosive_strong,lf_only,0.9713256958685168,2.7009322247417487,1,24.308390022675738,1.8594104308389814,True
44100,plosive_strong,context,0.7647961629196346,1.310153691106072,1,11.791383219954648,16.009070294784543,True
44100,plosive_repeated,lf_only,0.9673415320414205,4.716553287981859,2,23.582766439909296,2.2222222222222365,True
44100,plosive_repeated,context,0.757880502500731,1.0481229528848577,1,9.433106575963718,16.1904761904762,True
44100,low_vowel,lf_only,0.7043657206150667,0.0,0,0.0,,False
44100,low_vowel,context,0.27846501341037083,0.0,0,0.0,,False
44100,proximity,lf_only,0.8187396800309978,2.6807760141093473,1,24.126984126984127,26.530612244897945,True
44100,proximity,context,0.36978842497417325,0.0,0,0.0,,False
44100,fry,lf_only,0.7023606411221337,0.0,0,0.0,,False
44100,fry,context,0.5083427067654592,0.0,0,0.0,,False
44100,growl,lf_only,0.9373490848931193,5.240614764424288,1,47.16553287981859,3.310657596371891,True
44100,growl,context,0.5274516280183887,0.0,0,0.0,,False
44100,long_lf_note,lf_only,0.899136795658122,3.4467120181405897,1,31.020408163265305,2.947845804988636,True
44100,long_lf_note,context,0.6232561476725611,0.0,0,0.0,,False
44100,male_low,lf_only,0.562629410211371,0.0,0,0.0,,False
44100,male_low,context,0.22376320119233925,0.0,0,0.0,,False
44100,female_bright,lf_only,0.06634700824371063,0.0,0,0.0,,False
44100,female_bright,context,0.039608699573366796,0.0,0,0.0,,False
44100,breath,lf_only,0.06634700824371063,0.0,0,0.0,,False
44100,breath,context,0.039608699573366796,0.0,0,0.0,,False
44100,word_onset,lf_only,0.26381594103105843,0.0,0,0.0,,False
44100,word_onset,context,0.07112236867911413,0.0,0,0.0,,False
48000,plosive_soft,lf_only,0.9543982135439742,2.4444444444444446,1,22.0,2.979166666666644,True
48000,plosive_soft,context,0.732040480340154,0.0,0,0.0,,False
48000,plosive_nominal,lf_only,0.9673364487027132,2.611111111111111,1,23.5,2.312499999999995,True
48000,plosive_nominal,context,0.7581603911988949,1.037037037037037,1,9.333333333333334,16.312500000000007,True
48000,plosive_strong,lf_only,0.9713167701270867,2.7037037037037037,1,24.333333333333332,1.8124999999999947,True
48000,plosive_strong,context,0.7646829094492258,1.3148148148148149,1,11.833333333333334,15.979166666666655,True
48000,plosive_repeated,lf_only,0.9673364487027132,4.703703703703703,2,23.5,2.312499999999995,True
48000,plosive_repeated,context,0.7581603911988949,1.037037037037037,1,9.333333333333334,16.312500000000007,True
48000,low_vowel,lf_only,0.7042638463451583,0.0,0,0.0,,False
48000,low_vowel,context,0.2783043837095996,0.0,0,0.0,,False
48000,proximity,lf_only,0.8187353690310064,2.685185185185185,1,24.166666666666668,26.479166666666664,True
48000,proximity,context,0.3695603051971721,0.0,0,0.0,,False
48000,fry,lf_only,0.7020560064429847,0.0,0,0.0,,False
48000,fry,context,0.5057233574754642,0.0,0,0.0,,False
48000,growl,lf_only,0.9373752161675524,5.2407407407407405,1,47.166666666666664,3.312499999999996,True
48000,growl,context,0.5273149568349271,0.0,0,0.0,,False
48000,long_lf_note,lf_only,0.8991176304783277,3.425925925925926,1,30.833333333333332,2.979166666666644,True
48000,long_lf_note,context,0.6231658348075202,0.0,0,0.0,,False
48000,male_low,lf_only,0.562767011162335,0.0,0,0.0,,False
48000,male_low,context,0.2241582431063147,0.0,0,0.0,,False
48000,female_bright,lf_only,0.06652766369949599,0.0,0,0.0,,False
48000,female_bright,context,0.03978636500892863,0.0,0,0.0,,False
48000,breath,lf_only,0.06652766369949599,0.0,0,0.0,,False
48000,breath,context,0.03978636500892863,0.0,0,0.0,,False
48000,word_onset,lf_only,0.2634834404562951,0.0,0,0.0,,False
48000,word_onset,context,0.07119098650985345,0.0,0,0.0,,False
96000,plosive_soft,lf_only,0.9543928796105808,2.4537037037037037,1,22.083333333333332,2.906249999999999,True
96000,plosive_soft,context,0.7321272321568321,0.0,0,0.0,,False
96000,plosive_nominal,lf_only,0.9673484118538495,2.6203703703703702,1,23.583333333333332,2.239583333333295,True
96000,plosive_nominal,context,0.7580720302406778,1.037037037037037,1,9.333333333333334,16.239583333333307,True
96000,plosive_strong,lf_only,0.9713261004015199,2.6944444444444446,1,24.25,1.822916666666674,True
96000,plosive_strong,context,0.764732424796676,1.3055555555555556,1,11.75,15.989583333333336,True
96000,plosive_repeated,lf_only,0.9673484118538495,4.722222222222222,2,23.583333333333332,2.239583333333295,True
96000,plosive_repeated,context,0.7580720302406778,1.037037037037037,1,9.333333333333334,16.239583333333307,True
96000,low_vowel,lf_only,0.7043323464294554,0.0,0,0.0,,False
96000,low_vowel,context,0.2780704654189508,0.0,0,0.0,,False
96000,proximity,lf_only,0.8187328640252867,2.685185185185185,1,24.166666666666668,26.489583333333343,True
96000,proximity,context,0.3692257394935337,0.0,0,0.0,,False
96000,fry,lf_only,0.7016798214855602,0.0,0,0.0,,False
96000,fry,context,0.5072190074916373,0.0,0,0.0,,False
96000,growl,lf_only,0.9373525081018835,5.25,1,47.25,3.2395833333332957,True
96000,growl,context,0.5277733047471262,0.0,0,0.0,,False
96000,long_lf_note,lf_only,0.8991456461414739,3.425925925925926,1,30.833333333333332,2.9895833333333233,True
96000,long_lf_note,context,0.6232456161570474,0.0,0,0.0,,False
96000,male_low,lf_only,0.5627383725212601,0.0,0,0.0,,False
96000,male_low,context,0.22394214451205138,0.0,0,0.0,,False
96000,female_bright,lf_only,0.06652604079633431,0.0,0,0.0,,False
96000,female_bright,context,0.039644978889075574,0.0,0,0.0,,False
96000,breath,lf_only,0.06652604079633431,0.0,0,0.0,,False
96000,breath,context,0.039644978889075574,0.0,0,0.0,,False
96000,word_onset,lf_only,0.2636787653117928,0.0,0,0.0,,False
96000,word_onset,context,0.07104520209086994,0.0,0,0.0,,False
