sample_rate_hz,case,candidate,periodicity,veto,baseline_high_fraction,candidate_high_fraction,baseline_mean_t,candidate_mean_t,context_probability_median,context_probability_max,finite
44100,voiced_low,simple_veto,0.9812332165618071,1.0,0.999244142101285,0.999244142101285,0.999244142101285,0.999244142101285,0.023607414081373693,0.6939161912665777,1.0
44100,voiced_low,context_veto,0.9812332165618071,1.0,0.999244142101285,0.999244142101285,0.999244142101285,0.999244142101285,0.023607414081373693,0.6939161912665777,1.0
44100,voiced_high,simple_veto,1.0,1.0,0.999244142101285,0.999244142101285,0.999244142101285,0.999244142101285,0.07630774997829035,0.6939161911556427,1.0
44100,voiced_high,context_veto,1.0,1.0,0.999244142101285,0.999244142101285,0.999244142101285,0.999244142101285,0.07630774997829035,0.6939161911556427,1.0
44100,voiced_high_bright,simple_veto,1.0,1.0,0.999244142101285,0.999244142101285,0.999244142101285,0.999244142101285,0.35398183382856385,0.6939161910917417,1.0
44100,voiced_high_bright,context_veto,1.0,1.0,0.999244142101285,0.999244142101285,0.999244142101285,0.999244142101285,0.35398183382856385,0.6939161910917417,1.0
44100,noisy_bright_700,simple_veto,0.7248427632317787,0.7832070524964503,1.0,1.0,1.0,0.8374771799714524,0.4445249030825301,0.7188325251787485,1.0
44100,noisy_bright_700,context_veto,0.7248427632317787,0.7832070524964503,1.0,1.0,1.0,0.8374362217144931,0.4445249030825301,0.7188325251787485,1.0
44100,sibilant,simple_veto,0.07233643000098564,0.0,1.0,0.0002834467120181406,1.0,0.25019059808810395,0.8264889567111124,0.8705854296075624,1.0
44100,sibilant,context_veto,0.07233643000098564,0.0,1.0,0.0,1.0,0.25008005362536795,0.8264889567111124,0.8705854296075624,1.0
44100,breath,simple_veto,0.061305858503123124,0.0,1.0,0.000944822373393802,1.0,0.2517747268960063,0.6507446011819167,0.695826100785429,1.0
44100,breath,context_veto,0.061305858503123124,0.0,1.0,0.0,1.0,0.2514354012617581,0.6507446011819167,0.695826100785429,1.0
44100,long_s,simple_veto,0.047556431702150806,0.0,1.0,5.039052658100277e-05,1.0,0.25003724725127796,0.7826389525390169,0.8771471749659764,1.0
44100,long_s,context_veto,0.047556431702150806,0.0,1.0,0.0,1.0,0.2500175949023288,0.7826389525390169,0.8771471749659764,1.0
44100,steady_vowel,simple_veto,0.9924100328905292,1.0,0.23112244897959183,0.23112244897959183,0.6343924612150865,0.6343924612150865,0.024411147537903768,0.6939161927571037,1.0
44100,steady_vowel,context_veto,0.9924100328905292,1.0,0.23112244897959183,0.23112244897959183,0.6343924612150865,0.6343924612150865,0.024411147537903768,0.6939161927571037,1.0
44100,plosive_low,simple_veto,0.3738604427165848,0.0,1.0,1.0,1.0,0.999019514151435,0.19078748310781612,0.6939161919643599,1.0
44100,plosive_low,context_veto,0.3738604427165848,0.0,1.0,0.9900181488203267,1.0,0.8591211542442476,0.19078748310781612,0.6939161919643599,1.0
44100,startup_bright,simple_veto,0.9759000729485323,1.0,0.7494331065759637,0.7494331065759637,0.7494331065759637,0.7494331065759637,0.3509251584534311,0.6939161908761563,1.0
44100,startup_bright,context_veto,0.9759000729485323,1.0,0.7494331065759637,0.7494331065759637,0.7494331065759637,0.7494331065759637,0.3509251584534311,0.6939161908761563,1.0
48000,voiced_low,simple_veto,0.9805848954335199,1.0,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.024006732706296403,0.727197460838855,1.0
48000,voiced_low,context_veto,0.9805848954335199,1.0,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.024006732706296403,0.727197460838855,1.0
48000,voiced_high,simple_veto,1.0,1.0,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.07753928738917279,0.7271974610606831,1.0
48000,voiced_high,context_veto,1.0,1.0,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.07753928738917279,0.7271974610606831,1.0
48000,voiced_high_bright,simple_veto,1.0,1.0,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.36422584931035074,0.7271974611946707,1.0
48000,voiced_high_bright,context_veto,1.0,1.0,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.9993055555555556,0.36422584931035074,0.7271974611946707,1.0
48000,noisy_bright_700,simple_veto,0.8099426335015577,1.0,1.0,1.0,1.0,1.0,0.44525297089851934,0.7271973917880636,1.0
48000,noisy_bright_700,context_veto,0.8099426335015577,1.0,1.0,1.0,1.0,1.0,0.44525297089851934,0.7271973917880636,1.0
48000,sibilant,simple_veto,0.11631281142862554,0.0,1.0,0.00026041666666666666,1.0,0.250134039776264,0.8326313049540989,0.8730568860303247,1.0
48000,sibilant,context_veto,0.11631281142862554,0.0,1.0,0.0,1.0,0.2500532817460497,0.8326313049540989,0.8730568860303247,1.0
48000,breath,simple_veto,0.08931111711223232,0.0,1.0,0.00017361111111111112,1.0,0.2503929906073909,0.6710631364321864,0.8367353528686055,1.0
