case,sample_rate,all_finite,plosive_max_probability,plosive_max_reduction_db,sibilance_max_probability,sibilance_max_reduction_db,macro_max_abs_gain_db,dry_vopripro_peak_gr_db,prepped_vopripro_peak_gr_db,mean_gr_delta_db,event_audio_rms_attenuation_db,event_peak_gr_change_db,post_event_mean_gr_delta_db,phrase_spread_delta_db
neutral_body,44100,True,0.16179745130288842,0.0,0.0901949898565891,0.0,0.0,4.318517062017184,4.318517062017184,0.0,0.0,0.0,0.0,0.0
plosive_on_body,44100,True,0.8498187159535602,1.1517627449484598,0.09047298798489033,0.0,0.0,5.954682445070693,5.942171419996525,0.006564198515714104,0.7945118516240246,0.012511025074168458,0.021015709214348366,0.0
sibilance_on_body,44100,True,0.18522628100290353,0.0,0.743112316624295,0.8669398628595236,0.0,4.581039041298941,4.29531777780459,-0.005971538283816802,0.30972169557056617,0.28572126349435045,0.01425402085696481,0.0
phrase_step,44100,True,0.16179745121916395,0.0,0.09019498933066195,0.0,0.0,5.988470828331786,5.988470828331786,0.0,0.0,0.0,0.0,0.0
neutral_body,48000,True,0.16196282999993014,0.0,0.1111603371519905,0.0,0.0,4.33275945131238,4.33275945131238,0.0,0.0,0.0,0.0,0.0
plosive_on_body,48000,True,0.8498911784120375,1.1529730544782604,0.11143864351537418,0.0,0.0,5.954700357184257,5.942135294419145,0.006597036634807818,0.798065814282003,0.0125650627651126,0.021098412113997433,0.0
sibilance_on_body,48000,True,0.18513345593846575,0.0,0.7514924983671727,0.9019606369784178,0.0,4.586976208856277,4.286623456399958,-0.006251494558434434,0.327011431175972,0.30035275245631876,0.014990044629579202,0.0
phrase_step,48000,True,0.1619628299152422,0.0,0.11116033640762986,0.0,0.0,5.988481923841844,5.988481923841844,0.0,0.0,0.0,0.0,0.0
neutral_body,88200,True,0.16106797189512137,0.0,0.39153251581482174,0.0,0.0,4.366061843292356,4.366061843292356,0.0,0.0,0.0,0.0,0.0
plosive_on_body,88200,True,0.8498833648519122,1.1517584542725836,0.39172807728265036,0.0,0.0,5.954718515966644,5.942214344304627,0.006572839502020145,0.7956343659654017,0.012504171662016894,0.021022540389785682,0.0
sibilance_on_body,88200,True,0.18464268358525396,0.0,0.7920286307518619,1.071023568351322,0.0,4.582910233609728,4.197299881330655,-0.008119709723764412,0.414115187046562,0.38561035227907325,0.01895845759224235,0.0
phrase_step,88200,True,0.16106797181187962,0.0,0.3915325071506035,0.0,0.0,5.98848615543866,5.98848615543866,0.0,0.0,0.0,0.0,0.0
neutral_body,96000,True,0.16130785732714914,0.0,0.44368171079252333,0.0,0.0,4.378914210696683,4.378914210696683,0.0,0.0,0.0,0.0,0.0
plosive_on_body,96000,True,0.8498582733652797,1.152451470961452,0.44385810331244524,0.0,0.0,5.954721494828482,5.94219607837062,0.0065849016622876455,0.7969774333886033,0.012525416457862093,0.021051555335929173,0.0
sibilance_on_body,96000,True,0.18462537515163385,0.0,0.7958571098647149,1.0872995130355203,0.0,4.582455800837744,4.1891428458687505,-0.008282481125945207,0.4231390232525243,0.39331295496899354,0.01936226927765139,0.0
phrase_step,96000,True,0.16130785724290256,0.0,0.44368169881751784,0.0,0.0,5.988494410604168,5.988494410604168,0.0,0.0,0.0,0.0,0.0
