sample_rate,cutoff_hz,case,event_max,body_mean,whole_mean
44100,0,male_low,3.3109564793920585,3.317966976566599,3.24823414434768
44100,0,female,3.2672051813529315,3.278732510864177,3.2116745273390648
44100,0,rumble,3.7168218875238805,3.7232535218467713,3.6742600468191697
44100,0,proximity,4.064872650908221,4.0639616545302335,3.985133432496494
44100,0,plosive,5.455727483460027,3.318018758820333,3.5389857573208228
44100,0,consonant,4.20997490041257,3.317971731293734,3.3956462980747415
44100,0,sibilant,4.569764606860711,3.3180229666806977,3.45725464031825
44100,40,male_low,3.34591226180163,3.3636889066112756,3.2823620282248376
44100,40,female,3.272408790892386,3.284173052773873,3.216336493722462
44100,40,rumble,3.468809356950717,3.477045623424645,3.4025421464353984
44100,40,proximity,4.052743795275316,4.059834929398696,3.971116678181112
44100,40,plosive,5.014321865795184,3.36411273274308,3.527813582487663
44100,40,consonant,4.1752451862863005,3.3638610474109467,3.4304687789838106
44100,40,sibilant,4.542720464710087,3.3642528486383534,3.488806356142917
44100,60,male_low,3.2826226615728356,3.3233830959634014,3.2318507479599727
44100,60,female,3.2861541697395187,3.3034924971071002,3.23328308677072
44100,60,rumble,3.305255312247462,3.3461131399048742,3.2565002806480368
44100,60,proximity,3.928093659185569,3.9569687434493765,3.861500479308993
44100,60,plosive,4.288341378833505,3.32354486481953,3.407853502720475
44100,60,consonant,4.125547739888456,3.323521449841084,3.3865226723078914
44100,60,sibilant,4.487592490765054,3.3237871118181315,3.442508513792927
44100,70,male_low,3.188155827711405,3.2321240556619246,3.1390478762820004
44100,70,female,3.2941024672493056,3.323808481221256,3.25023106251129
44100,70,rumble,3.1952077384468622,3.24513856082149,3.1531462437720323
44100,70,proximity,3.8137205562795056,3.8588964952943163,3.7605477945504093
44100,70,plosive,3.889018960353214,3.232236558627718,3.28653313873661
44100,70,consonant,4.092250507620566,3.2322646380585303,3.300831142403523
44100,70,sibilant,4.442671876804775,3.232521996873123,3.3574720352949026
44100,80,male_low,3.0534388063035363,3.09907610198806,3.006517795609095
44100,80,female,3.303608979118282,3.3419084456688264,3.2654154770740473
44100,80,rumble,3.0540699709735564,3.1073235170384397,3.0154934807833356
44100,80,proximity,3.6719602490516783,3.725150596451138,3.6265591578856755
44100,80,plosive,3.516488964526778,3.09916401205141,3.1322436201624404
44100,80,consonant,4.058709123708487,3.099231360281179,3.1778979055781473
44100,80,sibilant,4.389640635333497,3.0995013776817255,3.2361745413692975
44100,100,male_low,2.723461546551496,2.7696738197436255,2.6825157219260642
44100,100,female,3.3189188963481118,3.3664607802159683,3.285013935282359
44100,100,rumble,2.7214647062553348,2.7737130731052244,2.6868701586581225
44100,100,proximity,3.3617189511950496,3.419218764778955,3.323200168525484
44100,100,plosive,2.9068215023896102,2.769738994070531,2.7785053856318003
44100,100,consonant,4.000231010411982,2.769883941589916,2.8772862239121744
44100,100,sibilant,4.280861384320509,2.7702197381532856,2.9404515005370753
48000,0,male_low,3.3109558946026953,3.317966471567775,3.2482315554182306
48000,0,female,3.267205703262525,3.2787322599543556,3.211672235276886
48000,0,rumble,3.7168262564840373,3.723252635687075,3.6742592093190383
48000,0,proximity,4.06487378605165,4.063962359772369,3.985132223042824
48000,0,plosive,5.464269925766462,3.3180194801778202,3.5402977880073667
48000,0,consonant,4.20975855061834,3.3179712704887336,3.395515789625165
48000,0,sibilant,4.520847338862817,3.318015746308369,3.451514943041261
48000,40,male_low,3.3459109629250254,3.3637172803392232,3.282387957734547
48000,40,female,3.2724017212246186,3.2841741548090377,3.216338607164469
48000,40,rumble,3.4688182635751525,3.47706932750799,3.4025630608905173
48000,40,proximity,4.052742580732379,4.059834953140552,3.9711170963200355
48000,40,plosive,5.026334658825011,3.364141688437214,3.529419852881559
48000,40,consonant,4.177456032282493,3.3638866109854035,3.4305709702431684
48000,40,sibilant,4.500730094112871,3.3642424869991463,3.483331176693746
48000,60,male_low,3.282640710491365,3.3233606770454194,3.2318399258222272
48000,60,female,3.286140823927043,3.303498183184088,3.233287037783253
48000,60,rumble,3.3053115491047405,3.346128619952908,3.2565186166897315
48000,60,proximity,3.9280928452125736,3.9569970409501583,3.861522984439158
48000,60,plosive,4.299720403420756,3.323524317938395,3.4091221517506205
48000,60,consonant,4.128043127342209,3.3234983905832576,3.3866231174541688
48000,60,sibilant,4.449310388947375,3.3237435784102014,3.4373306881066457
48000,70,male_low,3.188181304267031,3.232133369369526,3.1390598615537186
48000,70,female,3.2940784812656942,3.3238151114998593,3.2502357967002204
48000,70,rumble,3.195243595418009,3.245151069581848,3.1531618333479052
48000,70,proximity,3.813719813426647,3.8588793150029224,3.760539495051414
48000,70,plosive,3.9007106880872398,3.2322477008292707,3.2876902466693476
48000,70,consonant,4.094992748205692,3.2322740255079876,3.3009808236972438
48000,70,sibilant,4.408113374915756,3.232513670940762,3.3526636386409274
