architecture,split,amount,mean_gr,p95_gr,p99_gr,max_gr,frac_gt10,gr_ripple,cross_source_mean_gr_std,ballistics_homogeneity_max_error
r3_fixed_offset,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r3_fixed_offset,selection,12.5,0.681767400113572,0.9611444446112836,0.9922475749489034,0.9951409029617737,0.0,0.01130717448471435,0.061647032251440484,0.0
r3_fixed_offset,selection,25.0,1.363534800227144,1.9222888892225671,1.9844951498978067,1.9902818059235474,0.0,0.0226143489694287,0.12329406450288097,0.0
r3_fixed_offset,selection,37.5,2.0453022003407164,2.8834333338338514,2.9767427248467104,2.985422708885321,0.0,0.03392152345414386,0.18494109675432166,0.0
r3_fixed_offset,selection,50.0,2.727069600454288,3.8445777784451343,3.9689902997956135,3.980563611847095,0.0,0.0452286979388574,0.24658812900576194,0.0
r3_fixed_offset,selection,62.5,3.40883700056786,4.805722223056418,4.961237874744517,4.975704514808869,0.0,0.05653587242357402,0.3082351612572027,0.0
r3_fixed_offset,selection,75.0,4.090604400681433,5.766866667667703,5.953485449693421,5.970845417770642,0.0,0.06784304690828773,0.3698821935086433,0.0
r3_fixed_offset,selection,87.5,4.772371800795003,6.7280111122789865,6.945733024642324,6.965986320732416,0.0,0.0791502213930026,0.4315292257600838,0.0
r3_fixed_offset,selection,100.0,5.454139200908576,7.6891555568902685,7.937980599591227,7.96112722369419,0.008918025352766236,0.0904573958777148,0.49317625801152387,0.0
learn_actual_mean_solve,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learn_actual_mean_solve,selection,12.5,0.6794008544183873,0.95879177036551,0.9898957691441762,0.9927581862615746,0.0,0.011269206520728468,0.04855114030116837,0.0
learn_actual_mean_solve,selection,25.0,1.3588017088367745,1.91758354073102,1.9797915382883524,1.9855163725231493,0.0,0.022538413041456935,0.09710228060233674,0.0
learn_actual_mean_solve,selection,37.5,2.0382025632551617,2.8763753110965293,2.9696873074325287,2.978274558784724,0.0,0.03380761956218574,0.1456534209035052,0.0
learn_actual_mean_solve,selection,50.0,2.717603417673549,3.83516708146204,3.959583076576705,3.9710327450462986,0.0,0.04507682608291387,0.19420456120467347,0.0
learn_actual_mean_solve,selection,62.5,3.3970042720919364,4.793958851827549,4.949478845720881,4.963790931307873,0.0,0.05634603260364397,0.2427557015058414,0.0
learn_actual_mean_solve,selection,75.0,4.076405126510323,5.752750622193059,5.9393746148650575,5.956549117569448,0.0,0.06761523912437148,0.2913068418070104,0.0
learn_actual_mean_solve,selection,87.5,4.755805980928711,6.711542392558569,6.929270384009234,6.949307303831022,0.0,0.07888444564509912,0.33985798210817847,0.0
learn_actual_mean_solve,selection,100.0,5.435206835347098,7.67033416292408,7.91916615315341,7.942065490092597,0.0,0.09015365216582774,0.38840912240934694,0.0
