gain_db,threshold_db,threshold_shift_error_db,eval_mean_gr_error_db
-12.0,-51.08833312988281,3.0517578125e-05,1.008679985936567e-05
-6.0,-45.08842468261719,6.103515625e-05,2.0173601008366404e-05
0.0,-39.08836364746094,0.0,0.0
6.0,-33.08830261230469,6.103515625e-05,2.0173599292405697e-05
12.0,-27.088394165039062,3.0517578125e-05,1.0086800289244024e-05
