seed,model,top1,top3,top5,top5_given_generator_hit,strong_top5,strong_top5_given_generator_hit,mrr,generator_ceiling
20261003,prominence,0.03125,0.1875,0.25,0.26666666666666666,0.16666666666666666,0.18181818181818182,0.17371686473248973,0.9375
20261003,static,0.03125,0.125,0.25,0.26666666666666666,0.3333333333333333,0.36363636363636365,0.17148762051287206,0.9375
20261003,oracle,0.28125,0.90625,0.9375,1.0,0.9166666666666666,1.0,0.5546875,0.9375
20261013,prominence,0.09375,0.25,0.375,0.4444444444444444,0.35714285714285715,0.35714285714285715,0.23357676263902075,0.84375
20261013,static,0.09375,0.21875,0.34375,0.4074074074074074,0.2857142857142857,0.2857142857142857,0.22565239721900907,0.84375
20261013,oracle,0.28125,0.78125,0.78125,0.9259259259259259,1.0,1.0,0.5088848039215685,0.84375
