candidate,split,amount,mean_gr,p95_gr,p99_gr,max_gr,frac_gt10,gr_ripple,cross_source_mean_gr_std
anchor_threshold_target100_5.0,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_threshold_target100_5.0,selection,12.5,0.3192761435398096,0.822515299526744,1.055527222239132,1.225794651335382,0.0,0.00732632272237726,0.1214685790671603
anchor_threshold_target100_5.0,selection,25.0,0.7223314964082419,1.512972497056658,1.823194467650322,2.050558202145336,0.0,0.013310303382067387,0.19799927058154856
anchor_threshold_target100_5.0,selection,37.5,1.3214265959542453,2.4168786803654445,2.7983503348066057,3.0742447856115978,0.0,0.021886138265427513,0.2771105510841411
anchor_threshold_target100_5.0,selection,50.0,2.116462259873722,3.491139555016155,3.897149988534271,4.1988843248121,0.0,0.03313942121519717,0.35079045701712475
anchor_threshold_target100_5.0,selection,62.5,2.8337501726906167,4.352804035935444,4.7601892615704955,5.062688498031621,0.0,0.04318688256501842,0.39045168542745406
anchor_threshold_target100_5.0,selection,75.0,3.6127022129915556,5.216616901564358,5.624040651173405,5.92651325369796,0.0,0.054055048978732215,0.4124254744886355
anchor_threshold_target100_5.0,selection,87.5,4.112515965184426,5.750854021638924,6.158292445282141,6.460742312543859,0.0,0.06085637071780674,0.41952070375000444
anchor_threshold_target100_5.0,selection,100.0,4.620559114684236,6.285095390753284,6.692529266073148,6.994974720349176,0.0,0.0674668902227811,0.42345162666511466
desired_gr_scale_target100_5.0,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desired_gr_scale_target100_5.0,selection,12.5,0.5775698893355296,0.7856369238441605,0.8365661582591435,0.874371840043647,0.0,0.008433361277847638,0.05293145333313933
desired_gr_scale_target100_5.0,selection,25.0,1.155139778671059,1.571273847688321,1.673132316518287,1.748743680087294,0.0,0.016866722555695275,0.10586290666627866
desired_gr_scale_target100_5.0,selection,37.5,1.7327096680065885,2.3569107715324806,2.5096984747774282,2.6231155201309413,0.0,0.02530008383354286,0.1587943599994182
desired_gr_scale_target100_5.0,selection,50.0,2.310279557342118,3.142547695376642,3.346264633036574,3.497487360174588,0.0,0.03373344511139055,0.21172581333255733
desired_gr_scale_target100_5.0,selection,62.5,2.887849446677647,3.928184619220803,4.182830791295711,4.371859200218241,0.0,0.042166806389238184,0.2646572666656965
desired_gr_scale_target100_5.0,selection,75.0,3.465419336013177,4.713821543064961,5.0193969495548565,5.246231040261883,0.0,0.05060016766708572,0.3175887199988364
desired_gr_scale_target100_5.0,selection,87.5,4.042989225348707,5.499458466909123,5.855963107813999,6.120602880305534,0.0,0.05903352894493348,0.3705201733319753
desired_gr_scale_target100_5.0,selection,100.0,4.620559114684236,6.285095390753284,6.692529266073148,6.994974720349176,0.0,0.0674668902227811,0.42345162666511466
anchor_threshold_target100_5.2,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_threshold_target100_5.2,selection,12.5,0.3192761435398096,0.822515299526744,1.055527222239132,1.225794651335382,0.0,0.00732632272237726,0.1214685790671603
anchor_threshold_target100_5.2,selection,25.0,0.7223314964082419,1.512972497056658,1.823194467650322,2.050558202145336,0.0,0.013310303382067387,0.19799927058154856
anchor_threshold_target100_5.2,selection,37.5,1.3214265959542453,2.4168786803654445,2.7983503348066057,3.0742447856115978,0.0,0.021886138265427513,0.2771105510841411
anchor_threshold_target100_5.2,selection,50.0,2.116462259873722,3.491139555016155,3.897149988534271,4.1988843248121,0.0,0.03313942121519717,0.35079045701712475
anchor_threshold_target100_5.2,selection,62.5,2.8337501726906167,4.352804035935444,4.7601892615704955,5.062688498031621,0.0,0.04318688256501842,0.39045168542745406
anchor_threshold_target100_5.2,selection,75.0,3.6127022129915556,5.216616901564358,5.624040651173405,5.92651325369796,0.0,0.054055048978732215,0.4124254744886355
anchor_threshold_target100_5.2,selection,87.5,4.211475223572823,5.8554962666188795,6.262936212459758,6.565381947623324,0.0,0.062172221532747,0.4204996853121489
anchor_threshold_target100_5.2,selection,100.0,4.821257509373065,6.494376828060415,6.901813397798538,7.204255367933595,0.0,0.06995713246577487,0.42442501096646335
