sample_rate,variant,all_finite,plosive_max_probability,plosive_max_reduction_db,macro_max_abs_gain_db,event_audio_rms_attenuation_db,pre_event_audio_rms_delta_db,post_event_audio_rms_delta_db,event_vopripro_peak_gr_improvement_db,post_event_vopripro_mean_gr_delta_db
44100,dry,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44100,plosive_only,True,0.8498187159535602,1.1517627449484598,0.0,0.7945118516240246,0.0,-0.00031571605359204113,0.012511025074168458,0.021015709214348366
44100,macro_only,True,0.8498187159535602,0.0,1.0668166018028207,0.027322341114052406,0.0,-0.9113990958673277,0.0007643043069727185,-0.4230624096392437
44100,plosive_macro,True,0.8498187159535602,1.1517627449484598,1.0571907514626793,0.8214589879111962,0.0,-0.9075218683555022,0.013117342982563507,-0.4019372559442984
48000,dry,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48000,plosive_only,True,0.8498911784120375,1.1529730544782604,0.0,0.798065814282003,0.0,-0.0003155695532299774,0.0125650627651126,0.021098412113997433
48000,macro_only,True,0.8498911784120375,0.0,1.0668242961130905,0.027321337922808553,0.0,-0.9114017853031484,0.0007638904253415291,-0.42307301237568096
48000,plosive_macro,True,0.8498911784120375,1.1529730544782604,1.0571055461131131,0.8250199199450776,0.0,-0.9074827950074571,0.013154948942487366,-0.40185588698405006
88200,dry,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88200,plosive_only,True,0.8498833648519122,1.1517584542725836,0.0,0.7956343659654017,0.0,-0.00031429847224728746,0.012504171662016894,0.021022540389785682
88200,macro_only,True,0.8498833648519122,0.0,1.066823291618859,0.027312212066446406,0.0,-0.9113960200663556,0.0007612928752243064,-0.4230711709985764
88200,plosive_macro,True,0.8498833648519122,1.1517584542725836,1.0571124072651754,0.8225765034090013,0.0,-0.9074794574535332,0.013124255190128054,-0.4019264140762626
96000,dry,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96000,plosive_only,True,0.8498582733652797,1.152451470961452,0.0,0.7969774333886033,0.0,-0.0003140777050134602,0.012525416457862093,0.021051555335929173
96000,macro_only,True,0.8498582733652797,0.0,1.0668143321435872,0.027311555581285063,0.0,-0.9113918213328773,0.0007614706224279288,-0.4230710982849861
96000,plosive_macro,True,0.8498582733652797,1.152451470961452,1.0570799571435407,0.8239217342298719,0.0,-0.9074642496289478,0.013137229895044733,-0.40189525297035145
