sample_rate,case,baseline_peak_gr_db,candidate_peak_gr_db,delta_peak_gr_db,baseline_active_mean_gr_db,candidate_active_mean_gr_db,delta_active_mean_gr_db,baseline_active_ripple_db,candidate_active_ripple_db,delta_active_ripple_db,all_finite
44100,burst_10ms,2.2814308163909107,3.4001963382993563,1.1187655219084456,0.7954341205383222,1.661187747694669,0.8657536271563468,0.5940959427875888,1.1690858499246268,0.574989907137038,True
44100,burst_30ms,4.480108962711629,5.6678815673413245,1.1877726046296955,2.088467290113916,3.3872563713635975,1.2987890812496814,1.4123905562591426,2.0027161897517716,0.590325633492629,True
44100,burst_100ms,5.905036270129395,5.999729703153055,0.09469343302365996,3.9619747441558566,4.677055401563354,0.7150806574074977,2.067155761395362,2.0529917115140845,-0.014164049881277396,True
44100,body_800ms,5.787379825173934,5.858715444885337,0.07133561971140256,5.499114836841915,5.677046171398767,0.17793133455685162,0.9311740092010469,0.7575174249242069,-0.17365658427683994,True
44100,repeated_phrase,5.634739963720708,5.841636434072607,0.2068964703518983,4.558010634193197,4.953443929778942,0.3954332955857449,1.1007257260565446,1.2183756688327791,0.11764994277623453,True
48000,burst_10ms,2.279691298378771,3.394107858965057,1.1144165605862857,0.7946301961124606,1.6579422356379288,0.8633120395254682,0.5952306940011202,1.1705932488503341,0.575362554849214,True
48000,burst_30ms,4.478542759803105,5.664741978796343,1.186199218993238,2.087158704728426,3.3843049867530244,1.2971462820245985,1.4142715146535687,2.004833745351891,0.5905622306983223,True
48000,burst_100ms,5.904874228304523,5.999714435801313,0.09484020749679001,3.961055365016803,4.675812177509677,0.7147568124928738,2.068451345729483,2.054360126526292,-0.014091219203190786,True
48000,body_800ms,5.787386398699011,5.858720423797576,0.07133402509856435,5.499162271320393,5.6771098485433376,0.17794757722294463,0.9309992055978343,0.7571494870929822,-0.1738497185048521,True
48000,repeated_phrase,5.634712069209908,5.841596331182495,0.20688426197258636,4.558167475271811,4.953729560943067,0.39556208567125584,1.1005582141776464,1.2178307801840886,0.1172725660064422,True
96000,burst_10ms,2.279641278171982,3.3935249950876605,1.1138837169156783,0.7913424567992652,1.65127914754583,0.8599366907465648,0.5950579675640814,1.1709865799798707,0.5759286124157893,True
96000,burst_30ms,4.478540900792419,5.664801466767384,1.1862605659749645,2.084279353144628,3.3809198713593966,1.2966405182147684,1.4134057277667356,2.0047319906257113,0.5913262628589757,True
96000,burst_100ms,5.90494981510601,5.999716384377164,0.09476656927115457,3.9614573412939738,4.677021012377645,0.7155636710836708,2.067262444467415,2.052899010395095,-0.01436343407231977,True
96000,body_800ms,5.787402913884136,5.8587226823749425,0.0713197684908069,5.49925743560504,5.6771754733107125,0.17791803770567238,0.9308013814384039,0.7570076054000339,-0.17379377603836998,True
96000,repeated_phrase,5.6346487977706445,5.841608124564989,0.2069593267943448,4.557389815995126,4.9529452503361,0.39555543434097373,1.1008378559023826,1.2184967145028154,0.11765885860043279,True
192000,burst_10ms,2.279730543807472,3.393658944151684,1.1139284003442116,0.7911226858265432,1.6512972981288447,0.8601746123023015,0.5942856160697108,1.1695611949805473,0.5752755789108366,True
192000,burst_30ms,4.47858533121885,5.664793464752948,1.1862081335340973,2.083830110880856,3.380864813686354,1.2970347028054983,1.4126105856789322,2.003802301922758,0.591191716243826,True
192000,burst_100ms,5.90495372469389,5.999714581524322,0.09476085683043234,3.9628458796888935,4.679001184394513,0.7161553047056199,2.065838924050564,2.051187972945826,-0.014650951104737686,True
192000,body_800ms,5.787413432332963,5.858728081883854,0.07131464955089051,5.4992009077859105,5.677109216251343,0.17790830846543226,0.9309963063188036,0.7572725271057894,-0.17372377921301418,True
192000,repeated_phrase,5.6346124632361825,5.841610770187099,0.2069983069509167,4.557070372714658,4.952625701023914,0.3955553283092561,1.1009747227419373,1.2187449431495803,0.11777022040764296,True
