sample_rate,observe_ms,baseline_residual_gr_db,candidate_residual_gr_db,delta_residual_gr_db
44100,50,4.598531915681348,4.013951063686746,-0.5845808519946019
44100,100,2.951444672323905,2.005983297834013,-0.9454613744898919
44100,200,1.1891084930082618,0.4807359764108929,-0.7083725165973689
44100,500,0.07776460760135817,0.006616747454227524,-0.07114786014713065
48000,50,4.598580919073627,4.014029820643101,-0.5845510984305262
48000,100,2.951482223836647,2.0060300639402713,-0.9454521598963757
48000,200,1.1891236221493569,0.48074718395657534,-0.7083764381927815
48000,500,0.07776559700791018,0.006616901712489862,-0.07114869529542031
96000,50,4.598926943244413,4.014474401332289,-0.5844525419121238
96000,100,2.9517384531794364,2.00629431335557,-0.9454441398238664
96000,200,1.189226854470766,0.480810511603091,-0.7084163428676751
96000,500,0.0777723481334865,0.006617773340721522,-0.07115457479276498
192000,50,4.599095924378247,4.0146979564197,-0.5843979679585471
192000,100,2.951864053489536,2.006427114006906,-0.9454369394826299
192000,200,1.1892774576212726,0.48084233741627214,-0.7084351202050004
192000,500,0.07777565744835643,0.0066182113844036865,-0.07115744606395275
