sample_rate,case,detector,max_probability,active_occupancy_pct,event_count,max_active_duration_ms,first_onset_latency_ms,detected
44100,s,high_level,0.9667162518099922,13.522297808012095,1,121.70068027210884,4.897959183673473,True
44100,s,context,0.737090525176546,11.146384479717813,1,100.31746031746032,5.487528344671199,True
44100,sh,high_level,0.973884066342744,16.02418745275888,1,144.21768707482994,4.648526077097481,True
44100,sh,context,0.6023554594354809,0.0,0,0.0,,False
44100,ch,high_level,0.9817135976428151,8.17334341143865,1,73.56009070294785,1.9727891156462452,True
44100,ch,context,0.6091221219992478,0.0,0,0.0,,False
44100,t,high_level,0.9848852202459762,5.114638447971782,1,46.03174603174603,1.0204081632653184,True
44100,t,context,0.7307868207375332,4.293272864701436,1,38.63945578231292,1.4965986394557818,True
44100,bright_vowel,high_level,0.2544312658289173,0.0,0,0.0,,False
44100,bright_vowel,context,0.08558636274491617,0.0,0,0.0,,False
44100,air,high_level,0.035408913317012014,0.0,0,0.0,,False
44100,air,context,0.09319333624038213,0.0,0,0.0,,False
44100,breath,high_level,0.08415129849624585,0.0,0,0.0,,False
44100,breath,context,0.5019965157497732,0.0,0,0.0,,False
44100,falsetto,high_level,0.27791222237045216,0.0,0,0.0,,False
44100,falsetto,context,0.07763057159411325,0.0,0,0.0,,False
44100,female_upper,high_level,0.18550057601660944,0.0,0,0.0,,False
44100,female_upper,context,0.04872734450279918,0.0,0,0.0,,False
44100,distorted_vocal,high_level,0.20204971143712683,0.0,0,0.0,,False
44100,distorted_vocal,context,0.05379974336308975,0.0,0,0.0,,False
48000,s,high_level,0.9674003433000229,13.541666666666666,1,121.875,4.874999999999963,True
48000,s,context,0.7465354404803449,11.148148148148149,1,100.33333333333333,5.4791666666666465,True
48000,sh,high_level,0.9744965424149283,16.125,1,145.125,4.645833333333349,True
48000,sh,context,0.6107642151380893,0.0,0,0.0,,False
48000,ch,high_level,0.9821287708417449,8.1875,1,73.6875,1.9583333333333397,True
48000,ch,context,0.6179234324622555,0.0,0,0.0,,False
48000,t,high_level,0.9851903532630626,5.131944444444445,1,46.1875,0.9791666666666421,True
48000,t,context,0.739732075585014,4.407407407407407,1,39.666666666666664,1.4791666666666425,True
48000,bright_vowel,high_level,0.2574666370009868,0.0,0,0.0,,False
48000,bright_vowel,context,0.07968282173840971,0.0,0,0.0,,False
48000,air,high_level,0.035916517395798785,0.0,0,0.0,,False
48000,air,context,0.09506405721018914,0.0,0,0.0,,False
48000,breath,high_level,0.08537255809990872,0.0,0,0.0,,False
48000,breath,context,0.5094946951819403,0.0,0,0.0,,False
48000,falsetto,high_level,0.2810379506022365,0.0,0,0.0,,False
48000,falsetto,context,0.07898749407222147,0.0,0,0.0,,False
48000,female_upper,high_level,0.18769820124835418,0.0,0,0.0,,False
48000,female_upper,context,0.04924506076685707,0.0,0,0.0,,False
48000,distorted_vocal,high_level,0.2034314908873332,0.0,0,0.0,,False
48000,distorted_vocal,context,0.03068265175229239,0.0,0,0.0,,False
96000,s,high_level,0.9719504847047123,14.046296296296296,1,126.41666666666667,4.34374999999998,True
96000,s,context,0.7931994639268022,11.88888888888889,1,107.0,4.40625,True
96000,sh,high_level,0.9781503061602417,16.57523148148148,1,149.17708333333334,4.427083333333304,True
96000,sh,context,0.6580518224637841,11.37962962962963,1,102.41666666666667,9.156249999999977,True
96000,ch,high_level,0.9846202247091443,8.28125,1,74.53125,1.9479166666666603,True
96000,ch,context,0.6657199855538517,6.435185185185185,1,57.916666666666664,3.4895833333333237,True
96000,t,high_level,0.9872474638163474,5.22337962962963,1,47.010416666666664,0.9687499999999627,True
96000,t,context,0.7859188901588698,4.814814814814815,1,43.333333333333336,1.1562499999999698,True
96000,bright_vowel,high_level,0.27716640705242956,0.0,0,0.0,,False
96000,bright_vowel,context,0.09110201481072658,0.0,0,0.0,,False
96000,air,high_level,0.040127237172083094,0.0,0,0.0,,False
96000,air,context,0.11112842897659615,0.0,0,0.0,,False
96000,breath,high_level,0.09576353584635416,0.0,0,0.0,,False
96000,breath,context,0.5540778456654741,0.0,0,0.0,,False
96000,falsetto,high_level,0.3015486287173451,0.0,0,0.0,,False
96000,falsetto,context,0.08783006052136838,0.0,0,0.0,,False
96000,female_upper,high_level,0.2020129140683666,0.0,0,0.0,,False
96000,female_upper,context,0.05477402153214759,0.0,0,0.0,,False
96000,distorted_vocal,high_level,0.21161344675070812,0.0,0,0.0,,False
96000,distorted_vocal,context,0.06116597813514833,0.0,0,0.0,,False
