seed,model,top1,top3,top5,top5_given_generator_hit,strong_top5,strong_top5_given_generator_hit,mrr,generator_ceiling,external_clean_fpr,oracle_conditional_top5,gap_closure
20261003,static,0.03125,0.125,0.25,0.26666666666666666,0.3333333333333333,0.36363636363636365,0.17148762051287206,0.9375,0.175,1.0,0.0
20261003,patch,0.0625,0.09375,0.25,0.26666666666666666,0.4166666666666667,0.45454545454545453,0.1826531509157767,0.9375,0.325,1.0,0.0
20261013,static,0.09375,0.21875,0.34375,0.4074074074074074,0.2857142857142857,0.2857142857142857,0.22565239721900907,0.84375,0.25,0.9259259259259259,0.0
20261013,patch,0.125,0.3125,0.3125,0.37037037037037035,0.2857142857142857,0.2857142857142857,0.2705397594643918,0.84375,0.425,0.9259259259259259,-0.07142857142857141
