mapping,amount,input_shift_db,mean_gr_db,p95_gr_db,max_gr_db,linearity_rmse_db,zero_null_max_gr_db,event_extra_mean_db,event_extra_linearity_rmse_db,full_scale_match_max_error_db,finite
desired_gr_scale,0.00,0.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
desired_gr_scale,0.25,0.0,0.427121805,0.683099315,1.109182934,0.000000000,0.000000000,0.272355135,0.000000000,0.000000000,1
desired_gr_scale,0.50,0.0,0.854243610,1.366198630,2.218365868,0.000000000,0.000000000,0.544710270,0.000000000,0.000000000,1
desired_gr_scale,0.75,0.0,1.281365415,2.049297945,3.327548802,0.000000000,0.000000000,0.817065404,0.000000000,0.000000000,1
desired_gr_scale,1.00,0.0,1.708487220,2.732397259,4.436731736,0.000000000,0.000000000,1.089420539,0.000000000,0.000000000,1
threshold_sweep,0.00,6.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
threshold_sweep,0.25,6.0,0.000000000,0.000000000,0.000000000,0.888092738,0.000000000,0.000000000,0.350879389,0.000000000,1
threshold_sweep,0.50,6.0,0.001806589,0.000852769,0.273530990,1.773318265,0.000000000,0.018562428,0.680082316,0.000000000,1
threshold_sweep,0.75,6.0,0.635083159,1.276386570,2.635998552,1.980048298,0.000000000,0.688976083,0.352736205,0.000000000,1
threshold_sweep,1.00,6.0,3.469451059,4.726147456,6.436731736,0.000000000,0.000000000,1.340131105,0.000000000,0.000000000,1
ratio_interp,0.00,6.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
ratio_interp,0.25,6.0,1.156483686,1.575382485,2.145577245,0.296030913,0.000000000,0.446710368,0.116959796,0.000000000,1
ratio_interp,0.50,6.0,2.081670635,2.835688474,3.862039042,0.355237095,0.000000000,0.804078663,0.140351755,0.000000000,1
ratio_interp,0.75,6.0,2.838641776,3.866847919,5.266416875,0.242207110,0.000000000,1.096470904,0.095694379,0.000000000,1
ratio_interp,1.00,6.0,3.469451059,4.726147456,6.436731736,0.000000000,0.000000000,1.340131105,0.000000000,0.000000000,1
desired_gr_scale,0.00,6.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
desired_gr_scale,0.25,6.0,0.867362765,1.181536864,1.609182934,0.000000000,0.000000000,0.335032776,0.000000000,0.000000000,1
desired_gr_scale,0.50,6.0,1.734725530,2.363073728,3.218365868,0.000000000,0.000000000,0.670065552,0.000000000,0.000000000,1
desired_gr_scale,0.75,6.0,2.602088294,3.544610592,4.827548802,0.000000000,0.000000000,1.005098328,0.000000000,0.000000000,1
desired_gr_scale,1.00,6.0,3.469451059,4.726147456,6.436731736,0.000000000,0.000000000,1.340131105,0.000000000,0.000000000,1
threshold_sweep,0.00,12.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
threshold_sweep,0.25,12.0,0.000000000,0.000000000,0.000000000,1.379182716,0.000000000,0.000000000,0.353651358,0.000000000,1
threshold_sweep,0.50,12.0,0.106338555,0.367901921,1.210774902,2.638720624,0.000000000,0.283914487,0.427819773,0.000000000,1
threshold_sweep,0.75,12.0,1.850426370,2.914269055,4.624231736,2.247124390,0.000000000,1.127164120,0.187090097,0.000000000,1
threshold_sweep,1.00,12.0,5.461951602,6.726147456,8.436731736,0.000000000,0.000000000,1.350820540,0.000000000,0.000000000,1
ratio_interp,0.00,12.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
ratio_interp,0.25,12.0,1.820650534,2.242049152,2.812243912,0.459727572,0.000000000,0.450273513,0.117883786,0.000000000,1
ratio_interp,0.50,12.0,3.277170961,4.035688474,5.062039042,0.551673086,0.000000000,0.810492324,0.141460543,0.000000000,1
ratio_interp,0.75,12.0,4.468869492,5.503211555,6.902780511,0.376140741,0.000000000,1.105216806,0.096450370,0.000000000,1
ratio_interp,1.00,12.0,5.461951602,6.726147456,8.436731736,0.000000000,0.000000000,1.350820540,0.000000000,0.000000000,1
desired_gr_scale,0.00,12.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
desired_gr_scale,0.25,12.0,1.365487900,1.681536864,2.109182934,0.000000000,0.000000000,0.337705135,0.000000000,0.000000000,1
desired_gr_scale,0.50,12.0,2.730975801,3.363073728,4.218365868,0.000000000,0.000000000,0.675410270,0.000000000,0.000000000,1
desired_gr_scale,0.75,12.0,4.096463701,5.044610592,6.327548802,0.000000000,0.000000000,1.013115405,0.000000000,0.000000000,1
desired_gr_scale,1.00,12.0,5.461951602,6.726147456,8.436731736,0.000000000,0.000000000,1.350820540,0.000000000,0.000000000,1
