threshold,sample_rate,case,max_probability,active_occupancy_pct,event_count,max_active_duration_ms,first_onset_latency_ms,detected
0.75,44100,plosive_soft,0.7323333942353932,0.0,0,0.0,,False
0.75,44100,plosive_nominal,0.757880502500731,1.0481229528848577,1,9.433106575963718,16.1904761904762,True
0.75,44100,plosive_strong,0.7647961629196346,1.310153691106072,1,11.791383219954648,16.009070294784543,True
0.75,44100,plosive_repeated,0.757880502500731,1.0481229528848577,1,9.433106575963718,16.1904761904762,True
0.75,44100,low_vowel,0.27846501341037083,0.0,0,0.0,,False
0.75,44100,proximity,0.36978842497417325,0.0,0,0.0,,False
0.75,44100,fry,0.5083427067654592,0.0,0,0.0,,False
0.75,44100,growl,0.5274516280183887,0.0,0,0.0,,False
0.75,44100,long_lf_note,0.6232561476725611,0.0,0,0.0,,False
0.75,44100,male_low,0.22376320119233925,0.0,0,0.0,,False
0.75,44100,female_bright,0.039608699573366796,0.0,0,0.0,,False
0.75,44100,breath,0.039608699573366796,0.0,0,0.0,,False
0.75,44100,word_onset,0.07112236867911413,0.0,0,0.0,,False
0.75,48000,plosive_soft,0.732040480340154,0.0,0,0.0,,False
0.75,48000,plosive_nominal,0.7581603911988949,1.037037037037037,1,9.333333333333334,16.312500000000007,True
0.75,48000,plosive_strong,0.7646829094492258,1.3148148148148149,1,11.833333333333334,15.979166666666655,True
0.75,48000,plosive_repeated,0.7581603911988949,1.037037037037037,1,9.333333333333334,16.312500000000007,True
0.75,48000,low_vowel,0.2783043837095996,0.0,0,0.0,,False
0.75,48000,proximity,0.3695603051971721,0.0,0,0.0,,False
0.75,48000,fry,0.5057233574754642,0.0,0,0.0,,False
0.75,48000,growl,0.5273149568349271,0.0,0,0.0,,False
0.75,48000,long_lf_note,0.6231658348075202,0.0,0,0.0,,False
0.75,48000,male_low,0.2241582431063147,0.0,0,0.0,,False
0.75,48000,female_bright,0.03978636500892863,0.0,0,0.0,,False
0.75,48000,breath,0.03978636500892863,0.0,0,0.0,,False
0.75,48000,word_onset,0.07119098650985345,0.0,0,0.0,,False
0.75,96000,plosive_soft,0.7321272321568321,0.0,0,0.0,,False
0.75,96000,plosive_nominal,0.7580720302406778,1.037037037037037,1,9.333333333333334,16.239583333333307,True
0.75,96000,plosive_strong,0.764732424796676,1.3055555555555556,1,11.75,15.989583333333336,True
0.75,96000,plosive_repeated,0.7580720302406778,1.037037037037037,1,9.333333333333334,16.239583333333307,True
0.75,96000,low_vowel,0.2780704654189508,0.0,0,0.0,,False
0.75,96000,proximity,0.3692257394935337,0.0,0,0.0,,False
0.75,96000,fry,0.5072190074916373,0.0,0,0.0,,False
0.75,96000,growl,0.5277733047471262,0.0,0,0.0,,False
0.75,96000,long_lf_note,0.6232456161570474,0.0,0,0.0,,False
0.75,96000,male_low,0.22394214451205138,0.0,0,0.0,,False
0.75,96000,female_bright,0.039644978889075574,0.0,0,0.0,,False
0.75,96000,breath,0.039644978889075574,0.0,0,0.0,,False
0.75,96000,word_onset,0.07104520209086994,0.0,0,0.0,,False
0.72,44100,plosive_soft,0.7323333942353932,0.8868732678256488,1,7.981859410430839,16.1904761904762,True
0.72,44100,plosive_nominal,0.757880502500731,1.128747795414462,1,10.158730158730158,15.464852607709744,True
0.72,44100,plosive_strong,0.7647961629196346,1.7535903250188964,2,12.517006802721088,6.575963718820854,True
0.72,44100,plosive_repeated,0.757880502500731,1.128747795414462,1,10.158730158730158,15.464852607709744,True
0.72,44100,low_vowel,0.27846501341037083,0.0,0,0.0,,False
0.72,44100,proximity,0.36978842497417325,0.0,0,0.0,,False
0.72,44100,fry,0.5083427067654592,0.0,0,0.0,,False
0.72,44100,growl,0.5274516280183887,0.0,0,0.0,,False
0.72,44100,long_lf_note,0.6232561476725611,0.0,0,0.0,,False
0.72,44100,male_low,0.22376320119233925,0.0,0,0.0,,False
0.72,44100,female_bright,0.039608699573366796,0.0,0,0.0,,False
0.72,44100,breath,0.039608699573366796,0.0,0,0.0,,False
0.72,44100,word_onset,0.07112236867911413,0.0,0,0.0,,False
0.72,48000,plosive_soft,0.732040480340154,0.8888888888888888,1,8.0,16.145833333333304,True
0.72,48000,plosive_nominal,0.7581603911988949,1.1296296296296295,1,10.166666666666666,15.479166666666655,True
0.72,48000,plosive_strong,0.7646829094492258,1.7592592592592593,2,12.5,6.4791666666666465,True
0.72,48000,plosive_repeated,0.7581603911988949,1.1296296296296295,1,10.166666666666666,15.479166666666655,True
0.72,48000,low_vowel,0.2783043837095996,0.0,0,0.0,,False
0.72,48000,proximity,0.3695603051971721,0.0,0,0.0,,False
0.72,48000,fry,0.5057233574754642,0.0,0,0.0,,False
0.72,48000,growl,0.5273149568349271,0.0,0,0.0,,False
0.72,48000,long_lf_note,0.6231658348075202,0.0,0,0.0,,False
0.72,48000,male_low,0.2241582431063147,0.0,0,0.0,,False
0.72,48000,female_bright,0.03978636500892863,0.0,0,0.0,,False
0.72,48000,breath,0.03978636500892863,0.0,0,0.0,,False
0.72,48000,word_onset,0.07119098650985345,0.0,0,0.0,,False
0.72,96000,plosive_soft,0.7321272321568321,0.8796296296296297,1,7.916666666666667,16.156249999999982,True
0.72,96000,plosive_nominal,0.7580720302406778,1.1203703703703705,1,10.083333333333334,15.489583333333334,True
0.72,96000,plosive_strong,0.764732424796676,1.7592592592592593,2,12.5,6.489583333333327,True
0.72,96000,plosive_repeated,0.7580720302406778,1.1203703703703705,1,10.083333333333334,15.489583333333334,True
0.72,96000,low_vowel,0.2780704654189508,0.0,0,0.0,,False
0.72,96000,proximity,0.3692257394935337,0.0,0,0.0,,False
0.72,96000,fry,0.5072190074916373,0.0,0,0.0,,False
0.72,96000,growl,0.5277733047471262,0.0,0,0.0,,False
0.72,96000,long_lf_note,0.6232456161570474,0.0,0,0.0,,False
0.72,96000,male_low,0.22394214451205138,0.0,0,0.0,,False
0.72,96000,female_bright,0.039644978889075574,0.0,0,0.0,,False
0.72,96000,breath,0.039644978889075574,0.0,0,0.0,,False
0.72,96000,word_onset,0.07104520209086994,0.0,0,0.0,,False
0.7,44100,plosive_soft,0.7323333942353932,0.9473418997228521,1,8.526077097505668,15.646258503401345,True
0.7,44100,plosive_nominal,0.757880502500731,1.5117157974300832,2,10.52154195011338,6.394557823129254,True
