seed,feature,target_median,safe_median,median_delta,robust_separation
20261003,rel_gain_near_median,1.9672978598524686,2.160449635435157,-0.19315177558268815,-0.07521432029517097
20261003,rel_gain_near_mad,7.206921721554906,7.700960040305645,-0.49403831875073934,-0.12015674545647247
20261003,rel_gain_near_q80,11.958809736464534,12.263715090838009,-0.3049053543734743,-0.05245589046837921
20261003,rel_gain_near_pos_frac,0.5582329317269077,0.5892139988525531,-0.030981067125645412,-0.322319664430848
20261003,rel_gain_near_gt1_frac,0.5243832472748136,0.5496270797475616,-0.025243832472748085,-0.2671425812905632
20261003,rel_gain_near_robust_snr,0.11095346556404384,0.19583945461272875,-0.08488598904868491,-0.3750429042581298
20261003,rel_gain_near_diff_mad,2.7666662406744873,3.004811699126325,-0.23814545845183765,-0.45855752601094585
20261003,rel_gain_near_lag1_corr,0.866536649033514,0.8839835927400623,-0.017446943706548312,-0.16449702866049465
20261003,rel_gain_far_median,3.93432732293698,3.289969366673027,0.6443579562639528,0.1212905817706551
20261003,rel_gain_far_mad,6.339163417763537,5.948254771321281,0.39090864644225576,0.3218020015550597
20261003,near_far_consistency,0.6539016792254982,0.6583974458102285,-0.004495766584730276,-0.04173839697113738
20261003,center_reference_corr,0.59432665302179,0.5067296536936338,0.08759699932815623,0.20729163609317172
20261003,regression_intercept,-65.1854687684754,-74.8093666716517,9.6238979031763,0.1511241092799471
20261003,regression_slope,-0.12669768121627062,-0.14725216331190838,0.02055448209563776,0.021196002310030975
20261003,regression_resid_mad,5.48346211805891,5.654053785637771,-0.17059166757886146,-0.1375578189203655
20261013,rel_gain_near_median,3.049747290429707,2.1609113503677406,0.8888359400619663,0.3463466402855086
20261013,rel_gain_near_mad,9.322656944540697,7.486741418864028,1.8359155256766684,0.45447695861213044
20261013,rel_gain_near_q80,12.953733262005855,12.17228315305258,0.7814501089532744,0.1376391690636401
20261013,rel_gain_near_pos_frac,0.5851979345955249,0.591508892713712,-0.006310958118187049,-0.06624393281605387
20261013,rel_gain_near_gt1_frac,0.5547770700636943,0.5496270797475616,0.005149990316132613,0.05504051350455655
20261013,rel_gain_near_robust_snr,0.21044038380057686,0.2032474099574619,0.007192973843114958,0.031226717502394943
20261013,rel_gain_near_diff_mad,2.859155588693689,3.000683494760441,-0.14152790606675225,-0.3001178678030338
20261013,rel_gain_near_lag1_corr,0.9030639143031366,0.8838816422477932,0.019182272055343397,0.18503335575651564
20261013,rel_gain_far_median,4.341327419110868,3.2011941303363614,1.140133288774507,0.21975228523457385
20261013,rel_gain_far_mad,6.334824349014454,6.021816185480844,0.3130081635336097,0.2559569559141138
20261013,near_far_consistency,0.7002080099564445,0.6660506114387058,0.03415739851773869,0.33962111406191764
20261013,center_reference_corr,0.49592593225601284,0.5314759948097808,-0.03555006255376797,-0.08673073617440698
20261013,regression_intercept,-95.62667890898913,-69.49720382686463,-26.1294750821245,-0.41289145698394464
20261013,regression_slope,-0.6254862622763426,-0.08962357061714679,-0.5358626916591959,-0.5589627934252227
20261013,regression_resid_mad,5.536626168964126,5.721875430956864,-0.1852492619927375,-0.14433675748517025
