candidate,split,amount,mean_gr,p95_gr,p99_gr,max_gr,frac_gt10,gr_ripple,cross_source_mean_gr_std,ballistics_homogeneity_max_error
desired_gr_scale_target100_5.0,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desired_gr_scale_target100_5.0,selection,12.5,0.5471080270146628,0.8134439020323636,0.8289403903683765,0.8315207851570307,0.0,0.0016171930986444358,0.11226854174199624,0.0
desired_gr_scale_target100_5.0,selection,25.0,1.0942160540293255,1.6268878040647272,1.657880780736753,1.6630415703140613,0.0,0.0032343861972888716,0.22453708348399248,0.0
desired_gr_scale_target100_5.0,selection,37.5,1.6413240810439884,2.440331706097091,2.48682117110513,2.494562355471092,0.0,0.00485157929593324,0.3368056252259887,0.0
desired_gr_scale_target100_5.0,selection,50.0,2.188432108058651,3.2537756081294544,3.315761561473506,3.3260831406281226,0.0,0.006468772394577743,0.44907416696798497,0.0
desired_gr_scale_target100_5.0,selection,62.5,2.735540135073314,4.067219510161818,4.144701951841883,4.157603925785153,0.0,0.008085965493222363,0.5613427087099814,0.0
desired_gr_scale_target100_5.0,selection,75.0,3.282648162087977,4.880663412194182,4.97364234221026,4.989124710942184,0.0,0.00970315859186648,0.6736112504519775,0.0
desired_gr_scale_target100_5.0,selection,87.5,3.8297561891026404,5.694107314226546,5.802582732578636,5.820645496099214,0.0,0.01132035169051129,0.7858797921939737,0.0
desired_gr_scale_target100_5.0,selection,100.0,4.376864216117302,6.507551216258909,6.631523122947012,6.652166281256245,0.0,0.012937544789155486,0.8981483339359699,0.0
desired_gr_scale_target100_5.2,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desired_gr_scale_target100_5.2,selection,12.5,0.5719840759361373,0.8396049170660849,0.8551014054020951,0.857681800190752,0.0,0.0016400372164903751,0.1131077615327091,0.0
desired_gr_scale_target100_5.2,selection,25.0,1.1439681518722746,1.6792098341321697,1.7102028108041902,1.715363600381504,0.0,0.0032800744329807502,0.2262155230654182,0.0
desired_gr_scale_target100_5.2,selection,37.5,1.7159522278084118,2.5188147511982546,2.565304216206285,2.5730454005722563,0.0,0.004920111649470903,0.33932328459812716,0.0
desired_gr_scale_target100_5.2,selection,50.0,2.2879363037445493,3.3584196682643395,3.4204056216083805,3.430727200763008,0.0,0.0065601488659615004,0.4524310461308364,0.0
desired_gr_scale_target100_5.2,selection,62.5,2.8599203796806862,4.198024585330424,4.275507027010475,4.288409000953761,0.0,0.0082001860824522,0.5655388076635454,0.0
desired_gr_scale_target100_5.2,selection,75.0,3.4319044556168237,5.037629502396509,5.13060843241257,5.146090801144513,0.0,0.009840223298941806,0.6786465691962543,0.0
desired_gr_scale_target100_5.2,selection,87.5,4.003888531552961,5.877234419462594,5.985709837814666,6.003772601335265,0.0,0.011480260515432727,0.7917543307289634,0.0
desired_gr_scale_target100_5.2,selection,100.0,4.5758726074890985,6.716839336528679,6.840811243216761,6.861454401526016,0.0,0.013120297731923001,0.9048620922616728,0.0
desired_gr_scale_target100_5.3,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desired_gr_scale_target100_5.3,selection,12.5,0.584496542945971,0.8526854245829463,0.868181912918955,0.8707623077076134,0.0,0.0016512399845071445,0.11346175389072856,0.0
desired_gr_scale_target100_5.3,selection,25.0,1.168993085891942,1.7053708491658925,1.73636382583791,1.7415246154152269,0.0,0.003302479969014289,0.22692350778145712,0.0
desired_gr_scale_target100_5.3,selection,37.5,1.7534896288379134,2.5580562737488393,2.6045457387568645,2.6122869231228405,0.0,0.004953719953521143,0.34038526167218575,0.0
desired_gr_scale_target100_5.3,selection,50.0,2.337986171783884,3.410741698331785,3.47272765167582,3.4830492308304537,0.0,0.006604959938028578,0.45384701556291424,0.0
desired_gr_scale_target100_5.3,selection,62.5,2.9224827147298553,4.263427122914732,4.340909564594775,4.353811538538068,0.0,0.008256199922535793,0.5673087694536426,0.0
