gamma,ratio,detector_gain,total_bias,onset_dbfs,ratio_1_6,ratio_6_12,ratio_12_18,target_1_6,target_6_12,target_12_18
2.35,4,1.251,0.0687866,-42,3.96862,3.94114,3.66465,3.0854,4.6462,5.0337
2.35,8,2.10488,0.44812,-39,7.22888,10.6134,8.77924,4.9467,7.8239,8.2618
2.35,12,1.90098,0.613525,-38,5.87115,13.8903,16.1356,7.7485,11.8871,12.1317
2.35,20,1.54125,0.487183,-36,6.59476,13.2841,12.485,13.7836,21.9264,22.8206
