seed,feature,target_median,safe_median,spearman_vs_abs_true_delta_local
20261003,cf_delta_local_s4,0.7550974932767582,0.6525086480270726,0.19867099946407132
20261003,cf_delta_local_s8,0.8696044711220322,0.6696649460959109,0.2088924987941716
20261003,cf_raw_boost_q80_s4,7.505389046475705,7.931810855783515,-0.10299912173295837
20261003,cf_raw_boost_q80_s8,17.84410474027611,14.668758419732612,0.17759167939973144
20261003,cf_log_delta_s4,0.07409548032359126,0.07622926080519066,-0.08768165485342291
20261003,cf_log_delta_s8,0.22959850821064715,0.23256445822633764,-0.08358095573565116
20261013,cf_delta_local_s4,0.7428667512248917,0.6491574026264532,0.19506169904653656
20261013,cf_delta_local_s8,0.866862967196748,0.6623816853661925,0.20055161204323058
20261013,cf_raw_boost_q80_s4,7.34712912758072,8.055671679240314,-0.10527916711054197
20261013,cf_raw_boost_q80_s8,17.640034943450537,14.544030091447642,0.1762601872611817
20261013,cf_log_delta_s4,0.07548593168507589,0.07562397131953508,-0.09159092010707329
20261013,cf_log_delta_s8,0.2005804868394409,0.23107732152039162,-0.08684993465918302
