candidate,split,amount,mean_gr,p95_gr,p99_gr,max_gr,frac_gt10,gr_ripple,cross_source_mean_gr_std
baseline,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,selection,12.5,0.5904589849417499,0.835724779954609,0.8797795080044278,0.8855070163534732,0.0,0.01099649780789814,0.05472634800269811
baseline,selection,25.0,1.1809179698834997,1.671449559909218,1.7595590160088557,1.7710140327069464,0.0,0.02199299561579628,0.10945269600539621
baseline,selection,37.5,1.7713769548252496,2.5071743398638273,2.6393385240132834,2.6565210490604194,0.0,0.03298949342369516,0.16417904400809438
baseline,selection,50.0,2.3618359397669995,3.342899119818436,3.5191180320177113,3.5420280654138927,0.0,0.04398599123159256,0.21890539201079243
baseline,selection,62.5,2.9522949247087493,4.178623899773045,4.398897540022139,4.427535081767366,0.0,0.05498248903949148,0.2736317400134908
baseline,selection,75.0,3.542753909650499,5.014348679727655,5.278677048026567,5.313042098120839,0.0,0.06597898684739031,0.32835808801618876
baseline,selection,87.5,4.133212894592249,5.850073459682264,6.158456556030995,6.198549114474312,0.0,0.07697548465528928,0.38308443601888686
baseline,selection,100.0,4.723671879533999,6.685798239636872,7.038236064035423,7.084056130827785,0.0,0.08797198246318512,0.43781078402158485
soft_range_start6_ceiling10,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_range_start6_ceiling10,selection,12.5,0.5931498557603835,0.8384670468604206,0.8825304177088774,0.8882580262571056,0.0,0.011036070602628921,0.05532354459117444
soft_range_start6_ceiling10,selection,25.0,1.186299711520767,1.6769340937208412,1.7650608354177548,1.7765160525142112,0.0,0.022072141205257842,0.11064708918234888
soft_range_start6_ceiling10,selection,37.5,1.7794495672811501,2.515401140581262,2.647591253126632,2.6647740787713166,0.0,0.033108211807887325,0.16597063377352325
soft_range_start6_ceiling10,selection,50.0,2.372599423041534,3.3538681874416825,3.5301216708355097,3.5530321050284224,0.0,0.044144282410515684,0.22129417836469775
soft_range_start6_ceiling10,selection,62.5,2.9657492788019173,4.192335234302103,4.412652088544387,4.441290131285528,0.0,0.0551803530131454,0.2766177229558725
soft_range_start6_ceiling10,selection,75.0,3.5588988239041512,5.030802281162524,5.29516616286805,5.3295246706030825,0.0,0.06621645432373112,0.33194142774647234
soft_range_start6_ceiling10,selection,87.5,4.151768113058171,5.867794810822291,6.170561405615011,6.210112368846343,0.0,0.07728535214467584,0.3873100658883707
soft_range_start6_ceiling10,selection,100.0,4.740611297406362,6.677753495777178,6.999611897702186,7.041684948749162,0.0,0.08848596636123582,0.44199456870908116
soft_range_start6_ceiling9,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_range_start6_ceiling9,selection,12.5,0.5949087379374103,0.8402613043997618,0.8843251384664413,0.8900528189317541,0.0,0.011061765577674316,0.05576474370335068
soft_range_start6_ceiling9,selection,25.0,1.1898174758748206,1.6805226087995235,1.7686502769328827,1.7801056378635083,0.0,0.02212353115534863,0.11152948740670136
soft_range_start6_ceiling9,selection,37.5,1.784726213812231,2.5207839131992853,2.652975415399324,2.6701584567952628,0.0,0.03318529673302342,0.16729423111005204
soft_range_start6_ceiling9,selection,50.0,2.379634951749641,3.361045217599047,3.5373005538657654,3.5602112757270166,0.0,0.04424706231069726,0.22305897481340273
soft_range_start6_ceiling9,selection,62.5,2.974543689687051,4.201306521998809,4.421625692332206,4.450264094658771,0.0,0.0553088278883718,0.27882371851675347
soft_range_start6_ceiling9,selection,75.0,3.569451733681775,5.041567826398571,5.305914528233055,5.340266022032391,0.0,0.06637066676285555,0.33458882116137295
soft_range_start6_ceiling9,selection,87.5,4.163822262497819,5.878938401803854,6.1771354549731345,6.21627160378279,0.0,0.07749194033873422,0.3904216032108501
soft_range_start6_ceiling9,selection,100.0,4.750967818394249,6.668317291816852,6.969959274881836,7.009549153451372,0.0,0.08883704777112217,0.4448841481191111
soft_range_start6_ceiling8,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_range_start6_ceiling8,selection,12.5,0.5988267932886218,0.8442439604366423,0.8883166219026576,0.8940444836330577,0.0,0.011118473385461403,0.056804926142949026
soft_range_start6_ceiling8,selection,25.0,1.1976535865772435,1.6884879208732846,1.7766332438053152,1.7880889672661153,0.0,0.022236946770922805,0.11360985228589805
soft_range_start6_ceiling8,selection,37.5,1.7964803798658653,2.5327318813099264,2.664949865707973,2.682133450899173,0.0,0.0333554201563841,0.17041477842884722
soft_range_start6_ceiling8,selection,50.0,2.395307173154487,3.376975841746569,3.5532664876106304,3.5761779345322307,0.0,0.04447389354184561,0.2272197045717961
soft_range_start6_ceiling8,selection,62.5,2.994133966443109,4.221219802183211,4.441583109513289,4.470222418165288,0.0,0.055592366927307374,0.2840246307147452
soft_range_start6_ceiling8,selection,75.0,3.592958148869103,5.065463762619853,5.329765671653778,5.364088143604199,0.0,0.06671116033719057,0.3408308928743304
soft_range_start6_ceiling8,selection,87.5,4.190318719657258,5.9014782404187995,6.186429754751124,6.224439872011708,0.0,0.07796895676229902,0.3976623960084762
soft_range_start6_ceiling8,selection,100.0,4.7715749408605515,6.633613371405275,6.891212962423529,6.925200062083232,0.0,0.08966973300731865,0.45067139250120897
